"Facility Name","Provider Number",City,"Total Performance Score","PY2020 Payment Reduction Percentage","Ownership as of December 31, 2018"
"032607 AVONDALE DIALYSIS (FMC)",32607,AVONDALE,76,0.00%,"FRESENIUS MEDICAL CARE"
"032608 AVONDALE DIALYSIS (DSI)",32608,AVONDALE,78,0.00%,"NOT A CHAIN"
"032609 SOUTHWEST KIDNEY DIALYSIS - TEMPE (DVA)",32609,TEMPE,63,0.00%,DAVITA
"032610 SOUTHEAST VALLEY DIALYSIS (FMC)",32610,"QUEEN CREEK",59,0.00%,"FRESENIUS MEDICAL CARE"
"032611 SOUTHWEST KIDNEY DIALYSIS - PHOENIX (DVA)",32611,PHOENIX,71,0.00%,DAVITA
"032612 SOUTHWEST KIDNEY DIALYSIS - ESTRELLA (DVA)",32612,PHOENIX,62,0.00%,DAVITA
"032613 NORTHWEST TUCSON DIALYSIS (FMC)",32613,TUCSON,61,0.00%,"FRESENIUS MEDICAL CARE"
"032614 DOUGLAS DIALYSIS CENTER (DCI)",32614,DOUGLAS,62,0.00%,"DIALYSIS CLINIC, INC."
"032615 RIM COUNTRY DIALYSIS (DVA)",32615,PAYSON,67,0.00%,DAVITA
"032616 DESERT DIALYSIS SAHUARITA (DCI)",32616,SAHUARITA,52,0.50%,"DIALYSIS CLINIC, INC."
"032617 TUCSON WEST DIALYSIS CENTER (FMC)",32617,TUCSON,49,0.50%,"FRESENIUS MEDICAL CARE"
"032618 NORTHWEST TUCSON DIALYSIS (DVA)",32618,TUCSON,72,0.00%,DAVITA
"032619 MOUNTAIN VISTA DIALYSIS OF ARIZONA (DVA)",32619,MESA,62,0.00%,DAVITA
"032620 GRAND HOME DIALYSIS (DVA)",32620,SURPRISE,68,0.00%,DAVITA
"032621 WEST BROOK DIALYSIS (DVA)",32621,"SUN CITY WEST",56,0.50%,DAVITA
"032622 GOODYEAR DIALYSIS (FMC)",32622,GOODYEAR,61,0.00%,"FRESENIUS MEDICAL CARE"
"032624 SOUTHWEST KIDNEY CENTRAL MESA (DVA)",32624,MESA,42,1.00%,DAVITA
"032625 RAVEN DIALYSIS CENTER (DVA)",32625,PHOENIX,80,0.00%,DAVITA
"032626 MIDVALE PARK DIALYSIS (FMC)",32626,TUCSON,62,0.00%,"FRESENIUS MEDICAL CARE"
"032627 TUCSON CENTRAL DIALYSIS (DVA)",32627,TUCSON,68,0.00%,DAVITA
"032628 KINGMAN DIALYSIS CLINIC (FMC)",32628,KINGMAN,55,0.50%,"FRESENIUS MEDICAL CARE"
"032629 SOUTH TUCSON DIALYSIS (FMC)",32629,TUCSON,71,0.00%,"FRESENIUS MEDICAL CARE"
"032630 BROOKWOOD DIALYSIS CLINIC (DVA)",32630,GLENDALE,71,0.00%,DAVITA
"032631 OCOTILLO DIALYSIS (DVA)",32631,CHANDLER,70,0.00%,DAVITA
"032632 RITA RANCH DIALYSIS (DVA)",32632,TUCSON,82,0.00%,DAVITA
"032633 SANTAN DIALYSIS (FMC)",32633,FLORENCE,68,0.00%,"FRESENIUS MEDICAL CARE"
"032634 SOUTHWEST KIDNEY DIALYSIS - MARYVALE (DVA)",32634,PHOENIX,48,1.00%,DAVITA
"032635 GILBERT DIALYSIS (FMC)",32635,GILBERT,49,0.50%,"FRESENIUS MEDICAL CARE"
"032636 DSI FLAGSTAFF",32636,FLAGSTAFF,79,0.00%,"LIBERTY DIALYSIS HAWAII"
"032637 WICKENBURG DIALYSIS (DVA)",32637,WICKENBURG,85,0.00%,DAVITA
"032638 POWER ROAD DIALYSIS (DVA)",32638,MESA,55,0.50%,DAVITA
"032639 ESTRELLA MOUNTAIN DIALYSIS, LLC (ARA)",32639,PHOENIX,58,0.50%,"AMERICAN RENAL ASSOCIATES"
"032640 SWEETWATER RIDGE DIALYSIS (DVA)",32640,PEORIA,49,0.50%,DAVITA
"032641 SCOTTSDALE DIALYSIS (DVA)",32641,SCOTTSDALE,44,1.00%,DAVITA
"032642 SOUTHWEST KIDNEY/DAVITA-PHOENIX HOME DIALYSIS (DVA",32642,PHOENIX,82,0.00%,DAVITA
"032643 EAST TUCSON (FMC)",32643,TUCSON,66,0.00%,"FRESENIUS MEDICAL CARE"
"032644 EDGE RIVER (DVA)",32644,YUMA,66,0.00%,DAVITA
"032645 SOUTHWEST KIDNEY DAVITA DIALYSIS PARTNERS, LLC",32645,"FOUNTAIN HILLS",78,0.00%,DAVITA
"032646-FMC-GLENDALE TOWN CENTER",32646,GLENDALE,56,0.50%,"FRESENIUS MEDICAL CARE"
"032647-FMC NORTH MOUNTAIN",32647,PHOENIX,86,0.00%,"FRESENIUS MEDICAL CARE"
"032648-FMC OLD TOWN SCOTTSDALE",32648,SCOTTSDALE,47,1.00%,"FRESENIUS MEDICAL CARE"
"032649 PEDIATRIC DIALYSIS CENTER OF PHOENIX LLC",32649,PHOENIX,50,0.50%,"AMERICAN RENAL ASSOCIATES"
"032650 FRESENIUS KIDNEY CARE DESERT SAGE",32650,PHOENIX,63,0.00%,"FRESENIUS MEDICAL CARE"
"032651-SWAN DIALYSIS",32651,TUCSON,48,1.00%,DAVITA
"033503 GILA RIVER DIALYSIS WEST",33503,LAVEEN,79,0.00%,"NOT A CHAIN"
"033504 GLENDALE FAMILY HEALTH CENTER - DIALYSIS",33504,GLENDALE,89,0.00%,"NOT A CHAIN"
"ST BERNARDS REGIONAL MED CTR-DIALYSIS",42303,JONESBORO,73,0.00%,"NOT A CHAIN"
"ARKANSAS CHILDRENS HOSPITAL-DIALYSIS",42310,"LITTLE ROCK",76,0.00%,"NOT A CHAIN"
"FT SMITH REGIONAL DIALYSIS CTR",42501,"FORT SMITH",49,0.50%,"NOT A CHAIN"
"DAVITA - OUACHITA DIALYSIS",42507,"HOT SPRINGS",47,1.00%,DAVITA
"DAVITA - RIVER VALLEY DIALYSIS",42508,RUSSELLVILLE,61,0.00%,DAVITA
"FMCNA - HELENA",42510,HELENA,65,0.00%,"FRESENIUS MEDICAL CARE"
"DAVITA - DEGRAY KIDNEY CTR",42512,ARKADELPHIA,61,0.00%,DAVITA
"DAVITA - SPRINGHILL DIALYSIS",42513,"NORTH LITTLE ROCK",52,0.50%,DAVITA
"DAVITA - SEARCY DIALYSIS CTR",42514,SEARCY,67,0.00%,DAVITA
"KIDNEY DISEASE AND DIALYSIS CLINIC OF MAGNOLIA",42515,MAGNOLIA,87,0.00%,"NOT A CHAIN"
"DAVITA - CONWAY DIALYSIS CTR",42517,CONWAY,42,1.00%,DAVITA
"FMCNA - FAULKNER COUNTY",42518,CONWAY,51,0.50%,"FRESENIUS MEDICAL CARE"
"FMCNA - LITTLE ROCK DIALYSIS",42521,"LITTLE ROCK",53,0.50%,"FRESENIUS MEDICAL CARE"
"DAVITA - OUACHITA VALLEY DIALYSIS",42525,CAMDEN,55,0.50%,DAVITA
"FKC - LAKE VILLAGE",42527,"LAKE VILLAGE",62,0.00%,"FRESENIUS MEDICAL CARE"
"FMCNA - EAST ARKANSAS",42528,"WEST MEMPHIS",58,0.50%,"FRESENIUS MEDICAL CARE"
"DAVITA - HOT SPRINGS DIALYSIS",42531,"HOT SPRINGS",57,0.50%,DAVITA
"FMCNA - PINE BLUFF",42532,"PINE BLUFF",65,0.00%,"FRESENIUS MEDICAL CARE"
"FMCNA - ST FRANCIS COUNTY DIALYSIS",42533,"FORREST CITY",57,0.50%,"FRESENIUS MEDICAL CARE"
"DAVITA - OSCEOLA RENAL CTR",42534,OSCEOLA,55,0.50%,DAVITA
"DAVITA - PULASKI COUNTY DX",42535,JACKSONVILLE,62,0.00%,DAVITA
"DAVITA - SOUTH ARKANSAS DIALYSIS -EL DORADO",42536,"EL DORADO",67,0.00%,DAVITA
"FMCNA - STUTTGART DIALYSIS",42537,STUTTGART,50,0.50%,"FRESENIUS MEDICAL CARE"
"DAVITA - FAYETTEVILLE",42539,FAYETTEVILLE,63,0.00%,DAVITA
"DAVITA - BENTONVILLE",42540,BENTONVILLE,68,0.00%,DAVITA
"FMCNA - MONTICELLO",42543,MONTICELLO,63,0.00%,"FRESENIUS MEDICAL CARE"
"DAVITA - SW ARKANSAS DIALYSIS-MAGNOLIA",42545,MAGNOLIA,74,0.00%,DAVITA
"DAVITA - LITTLE ROCK MIDTOWN DIALYSIS",42547,"LITTLE ROCK",48,1.00%,DAVITA
"DAVITA - NORTH LITTLE ROCK DIALYSIS CTR",42548,"NORTH LITTLE ROCK",63,0.00%,DAVITA
"DAVITA - SILOAM SPRINGS",42549,"SILOAM SPRINGS",58,0.50%,DAVITA
"FMCNA - BLYTHEVILLE",42550,BLYTHEVILLE,65,0.00%,"FRESENIUS MEDICAL CARE"
"DAVITA - JACKSONVILLE CENTRAL DIALYSIS CTR",42553,JACKSONVILLE,55,0.50%,DAVITA
"DAVITA - JACKSON COUNTY DX",42554,NEWPORT,71,0.00%,DAVITA
"FMCNA - BENTON",42556,BENTON,65,0.00%,"FRESENIUS MEDICAL CARE"
"DAVITA - INDEPENDENCE COUNTY DX",42557,BATESVILLE,69,0.00%,DAVITA
"DAVITA - SALINE COUNTY DIALYSIS",42558,BENTON,44,1.00%,DAVITA
"DAVITA - ASHLEY DIALYSIS CTR",42560,CROSSETT,79,0.00%,DAVITA
"US RENAL CARE OF NORTHEAST AR - PARAGOULD",42562,PARAGOULD,39,1.00%,"US RENAL CARE, INC."
"DAVITA - HEMPSTEAD COUNTY DIALYSIS UNIT",42563,HOPE,74,0.00%,DAVITA
"US RENAL CARE - PINE BLUFF",42564,"PINE BLUFF",33,1.50%,"US RENAL CARE, INC."
"XCLOSED - PINE BLUFF DIALYSIS - KIDNEY CTR OF MCGEHEE",42565,MCGEHEE,62,0.00%,"US RENAL CARE, INC."
"RVM - RENAL CTR OF MTN HOME",42567,"MOUNTAIN HOME",70,0.00%,"RENAL VENTURES MANAGEMENT"
"DAVITA - SPRINGDALE",42568,SPRINGDALE,62,0.00%,DAVITA
"HOPE DIALYSIS CENTER",42569,HOPE,49,0.50%,"NOT A CHAIN"
"DAVITA - MALVERN DIALYSIS",42570,MALVERN,67,0.00%,DAVITA
"DAVITA - LITTLE ROCK DIALYSIS",42571,"LITTLE ROCK",48,1.00%,DAVITA
"DAVITA - RENAL CARE OF MARION",42573,MARION,40,1.00%,DAVITA
"NORTH HILLS DIALYSIS",42574,FAYETTEVILLE,53,0.50%,"NOT A CHAIN"
"BENTON COUNTY DIALYSIS CTR",42575,BENTONVILLE,58,0.50%,"NOT A CHAIN"
"DAVITA - BRADLEY COUNTY DIALYSIS",42576,WARREN,85,0.00%,DAVITA
"NEA BAPTIST CLINIC - MIDDLEFIELD",42577,JONESBORO,34,1.50%,"NOT A CHAIN"
"DAVITA - MILLER COUNTY DIALYSIS",42578,TEXARKANA,69,0.00%,DAVITA
"DIALYSIS CENTER OF SILOAM SPRINGS",42580,"SILOAM SPRINGS",85,0.00%,"NOT A CHAIN"
"VAMANA, INC",42581,TEXARKANA,24,2.00%,"NOT A CHAIN"
"DAVITA - MENA DIALYSIS",42582,MENA,66,0.00%,DAVITA
"DCI - MCCRORY",42583,MCCRORY,89,0.00%,"DIALYSIS CLINIC, INC."
"HARRISON DIALYSIS",42584,HARRISON,61,0.00%,"NOT A CHAIN"
"DAVITA - FORREST CITY",42585,"FORREST CITY",48,1.00%,DAVITA
"DAVITA - ROGERS DIALYSIS",42586,ROGERS,76,0.00%,DAVITA
"NEA BAPTIST CLINIC - HILLTOP",42588,JONESBORO,59,0.00%,"NOT A CHAIN"
"FMCNA - EAST LITTLE ROCK",42589,"EAST LITTLE ROCK",45,1.00%,"FRESENIUS MEDICAL CARE"
"DAVITA - SOUTH LITTLE ROCK",42590,"LITTLE ROCK",47,1.00%,DAVITA
"WESTSIDE DIALYSIS UNIT LLC",42591,"LITTLE ROCK",38,1.50%,"NOT A CHAIN"
"DCI - LITTLE ROCK RENAL SERVICES LLC",42592,"LITTLE ROCK",36,1.50%,"DIALYSIS CLINIC, INC."
"ARKANSAS STAFF ASSISTED HEMODIALYSIS CLINIC",42593,"LITTLE ROCK",57,0.50%,"NOT A CHAIN"
"DAVITA - POCAHONTAS",42595,POCAHONTAS,68,0.00%,DAVITA
"HIDDEN SPRINGS DIALYSIS CTR",42596,BENTONVILLE,79,0.00%,"NOT A CHAIN"
"ST BERNARDS-WYNNE",43501,WYNNE,80,0.00%,"NOT A CHAIN"
"ST. BERNARDS MEDICAL CENTER - OSCEOLA DIALYSIS",43502,OSCEOLA,75,0.00%,"NOT A CHAIN"
"SANTA CLARA VALLEY RENAL CARE CENTER",52305,"SAN JOSE",69,0.00%,"NOT A CHAIN"
"CHILDRENS HOSPITAL OF LOS ANGELES",52321,"LOS ANGELES",54,0.50%,"NOT A CHAIN"
"KAISER FOUNDATION HOSPITAL MEDICAL CTR.- SUNSET",52323,"LOS ANGELES",34,1.50%,"KAISER PERMANENTE"
"ARROWHEAD REGIONAL MEDICAL CENTER",52334,COLTON,69,0.00%,"NOT A CHAIN"
"ST. JOSEPH HOSPITAL RENAL CENTER",52368,ORANGE,66,0.00%,"NOT A CHAIN"
"KAISER FOUNDATION HOSPITAL MEDICAL CTR.- FONTANA",52380,FONTANA,36,1.50%,"KAISER PERMANENTE"
"KAISER FOUNDATION HOSPITAL MEDICAL CTR.- WOODLAND HILLS",52381,"WOODLAND HILLS",59,0.00%,"KAISER PERMANENTE"
"KAISER FOUNDATION HOSPITAL MEDICAL CTR.- RIVERSIDE",52382,RIVERSIDE,47,1.00%,"KAISER PERMANENTE"
"KAISER FOUNDATION HOSPITAL MEDICAL CTR.- WEST LOS ANGELES",52384,"LOS ANGELES",33,1.50%,"KAISER PERMANENTE"
"KAISER FOUNDATION HOSPITAL MEDICAL CTR.- DOWNEY",52389,DOWNEY,45,1.00%,"KAISER PERMANENTE"
"LUCILE PACKARD STANFORD PEDIATRIC DIALYSIS",52390,"PALO ALTO",16,2.00%,"NOT A CHAIN"
"KAISER PERMANENTE - SANTA CLARA",52392,"SANTA CLARA",26,2.00%,"KAISER PERMANENTE"
"KAISER FOUNDATION HOSPITAL MEDICAL CTR.- ANAHEIM",52394,ANAHEIM,42,1.00%,"KAISER PERMANENTE"
"CHILDRENS HOSPITAL OF SAN DIEGO",52395,"SAN DIEGO",44,1.00%,"NOT A CHAIN"
"KAISER HOSPITAL ESRD PD UNIT",52398,HAYWARD,49,0.50%,"KAISER PERMANENTE"
"KAISER FOUNDATION HOSPITAL MEDICAL CTR.- BALDWIN PARK",52399,"LA PUENTE",34,1.50%,"KAISER PERMANENTE"
"SIERRA VIEW DISTRICT HOSPITAL DIALYSIS CENTER",52401,PORTERVILLE,67,0.00%,"NOT A CHAIN"
"KAISER PERMANENTE MARTINEZ",52403,MARTINEZ,30,1.50%,"KAISER PERMANENTE"
"KAISER FOUNDATION HOSPITAL MEDICAL CTR.- ONTARIO",52404,ONTARIO,62,0.00%,"KAISER PERMANENTE"
"LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL PEDIATRIC CHRON",52406,"LOMA LINDA",75,0.00%,"NOT A CHAIN"
"FMC-HILLCREST DIALYSIS",52500,"SAN DIEGO",70,0.00%,"FRESENIUS MEDICAL CARE"
"DAVITA-KIDNEY DIALYSIS CARE UNIT",52502,LYNWOOD,49,0.50%,DAVITA
"DAVITA-MAIN PLACE DIALYSIS CENTER",52503,ORANGE,74,0.00%,DAVITA
"DAVITA-FULLERTON DIALYSIS",52505,FULLERTON,75,0.00%,DAVITA
"RAI HAIGHT",52507,"SAN FRANCISCO",51,0.50%,"FRESENIUS MEDICAL CARE"
"FMC-SANTA BARBARA COMMUNITY DIALYSIS CENTER",52513,"SANTA BARBARA",85,0.00%,"FRESENIUS MEDICAL CARE"
"SATELLITE DIALYSIS STEVENS CREEK",52514,"SAN JOSE",69,0.00%,"SATELLITE HEALTHCARE"
"LOS ALAMITOS HEMODIALYSIS CENTER",52515,"LOS ALAMITOS",52,0.50%,"NOT A CHAIN"
"DAVITA-ANTELOPE VALLEY DIALYSIS",52521,LANCASTER,42,1.00%,DAVITA
"MOBILE DIALYSIS SERVICES, INC. (COMPTON)",52522,COMPTON,33,1.50%,"NOT A CHAIN"
"FMC-LONG BEACH",52523,"LONG BEACH",52,0.50%,"FRESENIUS MEDICAL CARE"
"BMA SANTA ROSA",52524,"SANTA ROSA",51,0.50%,"FRESENIUS MEDICAL CARE"
"DAVITA-ESCONDIDO DIALYSIS",52525,ESCONDIDO,82,0.00%,DAVITA
"SATELLITE DIALYSIS GREENBRAE",52526,GREENBRAE,67,0.00%,"SATELLITE HEALTHCARE"
"REDDING DIALYSIS CENTER",52528,REDDING,58,0.50%,DAVITA
"SATELLITE DIALYSIS MODESTO",52531,MODESTO,71,0.00%,"SATELLITE HEALTHCARE"
"DAVITA-RIVERSIDE DIALYSIS CENTER",52532,RIVERSIDE,43,1.00%,DAVITA
"RAI - EAST BAY - OAKLAND",52534,OAKLAND,58,0.50%,"FRESENIUS MEDICAL CARE"
"FMC-NATIONAL CITY DIALYSIS CENTER",52536,"NATIONAL CITY",71,0.00%,"FRESENIUS MEDICAL CARE"
"DAVITA-INGLEWOOD DIALYSIS",52538,INGLEWOOD,53,0.50%,DAVITA
"DAVITA-LAKEWOOD DIALYSIS CENTER",52539,LAKEWOOD,69,0.00%,DAVITA
"DAVITA-PALM SPRINGS DIALYSIS",52541,"PALM SPRINGS",60,0.00%,DAVITA
"FMC EUREKA",52543,EUREKA,69,0.00%,"FRESENIUS MEDICAL CARE"
"FMC-CULVER CITY DIALYSIS",52544,"CULVER CITY",73,0.00%,"FRESENIUS MEDICAL CARE"
"U.S. RENAL CARE NORTHRIDGE DIALYSIS",52545,NORTHRIDGE,57,0.50%,"US RENAL CARE, INC."
"DALY CITY DIALYSIS CENTER",52546,"DALY CITY",78,0.00%,DAVITA
FMC-BURBANK,52549,BURBANK,69,0.00%,"FRESENIUS MEDICAL CARE"
"LOMA LINDA UNIVERSITY KIDNEY CENTER",52550,"LOMA LINDA",70,0.00%,"NOT A CHAIN"
"DAVITA-UPLAND DIALYSIS",52552,UPLAND,64,0.00%,DAVITA
"CHICO DIALYSIS CENTER",52553,CHICO,60,0.00%,DAVITA
"DAVITA-VALLEY DIALYSIS CENTER",52554,"VAN NUYS",51,0.50%,DAVITA
"SATELLITE DIALYSIS SANTA CRUZ",52555,CAPITOLA,69,0.00%,"SATELLITE HEALTHCARE"
"U.S. RENAL CARE SKYPARK DIALYSIS",52556,TORRANCE,74,0.00%,"US RENAL CARE, INC."
"HOLY CROSS RENAL CENTER",52558,"MISSION HILLS",81,0.00%,"HEMODIALYSIS, INC."
"SAN PABLO DIALYSIS CENTER",52560,"SAN PABLO",65,0.00%,DAVITA
"DAVITA-VICTOR VALLEY DIALYSIS",52561,"APPLE VALLEY",48,1.00%,DAVITA
"YUBA CITY DIALYSIS CENTER",52563,"YUBA CITY",70,0.00%,DAVITA
"DAVITA-GARFIELD HEMODIALYSIS CENTER",52564,"MONTEREY PARK",59,0.00%,DAVITA
"SILVERADO DIALYSIS",52565,NAPA,50,0.50%,DAVITA
"VALLEJO DIALYSIS CENTER",52567,VALLEJO,65,0.00%,DAVITA
"PLEASANTON DIALYSIS CENTER",52568,PLEASANTON,81,0.00%,DAVITA
"SOUTH SACRAMENTO DIALYSIS CENTER",52569,SACRAMENTO,73,0.00%,DAVITA
"UNION CITY DIALYSIS CENTER",52571,"UNION CITY",73,0.00%,DAVITA
"SATELLITE DIALYSIS SAN JOSE",52572,"SAN JOSE",65,0.00%,"SATELLITE HEALTHCARE"
"DAVITA-DOWNEY DIALYSIS CENTER",52574,DOWNEY,68,0.00%,DAVITA
"FMC-RAI-NORTH WATERMAN-SAN BERNARDINO",52575,"SAN BERNARDINO",63,0.00%,"FRESENIUS MEDICAL CARE"
"FMC-BALBOA KEARNY MESA DIALYSIS CENTER",52576,"SAN DIEGO",60,0.00%,"FRESENIUS MEDICAL CARE"
"RAI HARDING BLVD",52578,ROSEVILLE,82,0.00%,"FRESENIUS MEDICAL CARE"
"FMC-CONEJO VALLEY RENAL CENTER",52579,"THOUSAND OAKS",69,0.00%,"FRESENIUS MEDICAL CARE"
"DAVITA-COVINA DIALYSIS CENTER",52580,"WEST COVINA",64,0.00%,DAVITA
"U.S. RENAL CARE GARDENA DIALYSIS - REDONDO",52581,GARDENA,40,1.00%,"US RENAL CARE, INC."
"ST. VINCENT DIALYSIS CENTER, INC.",52582,"LOS ANGELES",46,1.00%,"NOT A CHAIN"
"MONTEREY PENINSULA DIALYSIS",52583,MONTEREY,74,0.00%,"INNOVATIVE DIALYSIS SYSTEMS"
"NORTH MERCED DIALYSIS CENTER",52584,MERCED,75,0.00%,DAVITA
"U.S. RENAL CARE VAN NUYS DIALYSIS",52585,"VAN NUYS",48,1.00%,"US RENAL CARE, INC."
"BERKELEY DIALYSIS CENTER",52587,BERKELEY,67,0.00%,DAVITA
"DAVITA-WEST HILLS DIALYSIS",52588,"WEST HILLS",52,0.50%,DAVITA
"FMC-UNIVERSITY DIALYSIS CENTER OF ORANGE",52589,ORANGE,58,0.50%,"FRESENIUS MEDICAL CARE"
"FMC-RAI-COMPTON-LOS ANGELES",52590,"LOS ANGELES",44,1.00%,"FRESENIUS MEDICAL CARE"
"DAVITA-POMONA DIALYSIS",52591,POMONA,55,0.50%,DAVITA
"DAVITA-MISSION VIEJO DIALYSIS",52597,"MISSION VIEJO",76,0.00%,DAVITA
"DAVITA-BEVERLY HILLS DIALYSIS CENTER",52599,"BEVERLY HILLS",50,0.50%,DAVITA
"SATELLITE DIALYSIS SAN JOSE",52600,"SAN JOSE",52,0.50%,"SATELLITE HEALTHCARE"
"LAKEPORT DIALYSIS CENTER",52601,LAKEPORT,63,0.00%,DAVITA
"SALINAS DIALYSIS CENTER",52602,SALINAS,71,0.00%,DAVITA
"MANZANITA DIALYSIS CENTER",52604,CARMICHAEL,49,0.50%,DAVITA
"SANTA BARBARA ARTIFICIAL KIDNEY CENTER, LLC",52606,"SANTA BARBARA",75,0.00%,"NOT A CHAIN"
"FRESNO DIALYSIS CENTER",52608,FRESNO,54,0.50%,DAVITA
"SATELLITE DIALYSIS SONORA",52609,SONORA,90,0.00%,"SATELLITE HEALTHCARE"
"RAI PIEDMONT",52610,OAKLAND,60,0.00%,"FRESENIUS MEDICAL CARE"
"BMA OF CENTRAL VALLEY RURAL DIALYSIS",52612,REEDLEY,52,0.50%,"FRESENIUS MEDICAL CARE"
"DAVITA-EATON CANYON DIALYSIS",52613,PASADENA,60,0.00%,DAVITA
"AUBURN DIALYSIS CENTER",52614,AUBURN,72,0.00%,DAVITA
"NAPA DIALYSIS CENTER",52615,NAPA,55,0.50%,DAVITA
"FMC-RAI-GARDEN GROVE BLVD.-GARDEN GROVE",52617,"GARDEN GROVE",66,0.00%,"FRESENIUS MEDICAL CARE"
"FAIRFIELD DIALYSIS CENTER",52618,FAIRFIELD,67,0.00%,DAVITA
"HUNTINGTON DIALYSIS CENTER",52619,PASADENA,64,0.00%,"HEMODIALYSIS, INC."
DAVITA-HEMET,52620,HEMET,60,0.00%,DAVITA
"DAVITA-BREA DIALYSIS CENTER",52621,BREA,64,0.00%,DAVITA
"DAVITA-EAST LA PLAZA DIALYSIS",52622,"LOS ANGELES",54,0.50%,DAVITA
"FMC PETALUMA",52624,PETALUMA,80,0.00%,"FRESENIUS MEDICAL CARE"
"DAVITA-LA PALMA DIALYSIS",52627,"BUENA PARK",72,0.00%,DAVITA
"DAVITA-HANFORD DIALYSIS",52628,HANFORD,66,0.00%,DAVITA
"SATELLITE DIALYSIS",52629,WATSONVILLE,78,0.00%,"SATELLITE HEALTHCARE"
"SATELLITE DIALYSIS SANTA ROSA",52630,"SANTA ROSA",64,0.00%,"SATELLITE HEALTHCARE"
"DAVITA-WILSHIRE DIALYSIS CENTER",52631,"LOS ANGELES",56,0.50%,DAVITA
"DAVITA-GLENDALE DIALYSIS",52632,GLENDALE,67,0.00%,DAVITA
"FMC-MISSION HILLS",52633,"MISSION HILLS",64,0.00%,"FRESENIUS MEDICAL CARE"
FMC-RAI-CENTINELA-INGLEWOOD,52634,INGLEWOOD,32,1.50%,"FRESENIUS MEDICAL CARE"
"DAVITA-BRIMHALL DIALYSIS",52635,BAKERSFIELD,60,0.00%,DAVITA
"DAVITA-BURBANK DIALYSIS",52637,BURBANK,39,1.00%,DAVITA
"DAVITA-DIALYSIS CENTER OF SIMI VALLEY",52638,"SIMI VALLEY",68,0.00%,DAVITA
"DAVITA-HUNTINGTON BEACH DIALYSIS",52641,"HUNTINGTON BEACH",71,0.00%,DAVITA
"DAVITA-TOWER DIALYSIS",52643,"LOS ANGELES",42,1.00%,DAVITA
FMC-ALHAMBRA,52644,ALHAMBRA,66,0.00%,"FRESENIUS MEDICAL CARE"
"SATELLITE DIALYSIS TURLOCK",52647,TURLOCK,66,0.00%,"SATELLITE HEALTHCARE"
"DAVITA-SAN JUAN CAPISTRANO SOUTH DIALYSIS",52648,"SAN JUAN CAPISTRANO",54,0.50%,DAVITA
"US RENAL CARE BERKELEY",52651,BERKELEY,76,0.00%,"DIVERSIFIED SPECIALTY INSTITUTES (DSI)"
"DAVITA-PARAMOUNT DIALYSIS CENTER",52652,PARAMOUNT,46,1.00%,DAVITA
"FMC-CHULA VISTA DIALYSIS CENTER-SOUTH",52653,"SAN DIEGO",70,0.00%,"FRESENIUS MEDICAL CARE"
"FMC-GAREY DIALYSIS CENTER PARTNERSHIP",52654,POMONA,62,0.00%,"FRESENIUS MEDICAL CARE"
FMC-VENTURA,52656,VENTURA,73,0.00%,"FRESENIUS MEDICAL CARE"
"FMC-RAI-CORPORATE WAY-PALM DESERT",52657,"PALM DESERT",59,0.00%,"FRESENIUS MEDICAL CARE"
"KIDNEY INSTITUTE OF THE DESERT",52658,INDIO,71,0.00%,"NOT A CHAIN"
"DAVITA-CORONA DIALYSIS CENTER",52661,CORONA,56,0.50%,DAVITA
"ANTELOPE DIALYSIS CENTER",52663,"CITRUS HEIGHTS",45,1.00%,DAVITA
"DAVITA-SANTA MONICA DIALYSIS",52665,"SANTA MONICA",70,0.00%,DAVITA
"DAVITA-TULARE DIALYSIS",52666,TULARE,69,0.00%,DAVITA
"FMC-CAMARILLO DIALYSIS CENTER",52668,CAMARILLO,82,0.00%,"FRESENIUS MEDICAL CARE"
"DAVITA-IMPERIAL DIALYSIS",52670,INGLEWOOD,67,0.00%,DAVITA
"DAVITA-UNITED DIALYSIS CENTER",52671,"LONG BEACH",55,0.50%,DAVITA
"DAVITA-BAKERSFIELD DIALYSIS CENTER",52673,BAKERSFIELD,68,0.00%,DAVITA
"DAVITA-DELANO DIALYSIS",52674,DELANO,72,0.00%,DAVITA
"EAST BAY PERITONEAL DIALYSIS",52675,"SAN LEANDRO",86,0.00%,DAVITA
"DCI UNIVERSITY DIALYSIS CLINIC",52676,SACRAMENTO,58,0.50%,"DIALYSIS CLINIC, INC."
"SAN JOAQUIN VALLEY DIALYSIS",52677,FRESNO,45,1.00%,"FRESENIUS MEDICAL CARE"
"FMC-GATEWAY DIALYSIS CENTER-EAST",52678,"SAN DIEGO",58,0.50%,"FRESENIUS MEDICAL CARE"
"U.S. RENAL CARE REDONDO BEACH DIALYSIS",52679,"REDONDO BEACH",57,0.50%,"US RENAL CARE, INC."
"DAVITA-FONTANA DIALYSIS",52682,FONTANA,59,0.00%,DAVITA
"FMC-RAI-EAST OLYMPIC-LOS ANGELES",52683,"LOS ANGELES",72,0.00%,"FRESENIUS MEDICAL CARE"
"PERITONEAL DIALYSIS CENTER OF AMERICA-SAN GABRIEL PC",52684,"MONTEREY PARK",43,1.00%,"NOT A CHAIN"
"HAYWARD DIALYSIS CENTER",52685,HAYWARD,42,1.00%,DAVITA
